country,2020,2010,2000,1985
Afghanistan,620.4,898.7,1346.1,1910.3
Albania,8.3,8.5,14.3,47.7
Algeria,77.7,111.7,159.2,255.6
Angola,221.9,367.3,859.9,1098.0
Antigua and Barbuda,21.2,30.8,51.3,59.0
Argentina,44.9,55.1,71.5,97.9
Armenia,27.2,33.2,50.2,54.0
Australia,2.9,5.5,6.7,8.0
Austria,5.2,6.0,6.4,10.5
Azerbaijan,40.8,32.8,55.5,52.8
Bahamas,77.1,78.9,60.8,55.6
Bahrain,15.9,19.8,24.3,37.0
Bangladesh,123.0,300.8,441.2,907.5
Barbados,39.1,53.3,48.4,52.7
Belarus,1.1,2.7,24.3,42.3
Belgium,4.8,5.9,8.3,8.5
Belize,129.8,32.7,85.9,113.8
Benin,522.6,598.2,469.3,718.7
Bhutan,59.9,116.6,304.7,835.1
Bolivia,160.9,184.1,284.0,586.5
Bosnia and Herzegovina,5.7,7.7,15.6,47.4
Botswana,185.9,155.9,181.6,228.8
Brazil,72.1,63.9,68.4,227.0
Brunei,44.2,41.8,49.5,58.4
Bulgaria,7.1,10.3,21.9,25.4
Burkina Faso,263.8,357.4,505.6,795.3
Burundi,494.4,608.0,873.6,1343.3
Cambodia,218.0,276.4,605.6,687.8
Cameroon,437.8,526.7,650.7,694.3
Canada,11.0,11.9,9.3,7.0
Cape Verde,42.2,53.9,125.1,399.8
Central African Republic,835.3,1051.6,1315.2,1003.1
Chad,1063.5,1303.3,1365.5,1420.0
Chile,15.0,23.4,32.6,75.5
China,23.0,33.2,58.1,114.5
Colombia,74.8,70.6,92.6,130.0
Comoros,217.0,316.2,455.7,656.2
Congo,282.4,389.1,659.8,630.6
Costa Rica,22.0,26.6,38.5,49.6
Ivory Coast,479.9,604.1,473.5,667.0
Croatia,4.8,7.2,10.9,12.9
Cuba,39.3,41.1,47.0,69.1
Cyprus,68.4,26.8,33.2,38.2
Czech Republic,3.4,4.3,8.0,13.1
DR Congo,547.4,601.5,667.7,1171.5
Denmark,4.7,6.5,8.0,11.5
Djibouti,234.5,273.8,512.5,707.2
Dominican Republic,107.3,91.8,79.1,154.1
Timor-Leste,203.9,376.3,749.7,1671.8
Ecuador,65.7,76.2,120.1,238.6
Egypt,16.8,38.2,79.4,152.8
El Salvador,42.8,35.8,48.8,210.5
Equatorial Guinea,212.3,211.3,426.6,1302.5
Eritrea,321.6,479.7,734.6,1557.6
Estonia,5.2,8.1,24.8,49.1
Eswatini,239.6,671.5,588.3,484.3
Ethiopia,266.7,634.7,952.8,1297.3
Fiji,38.0,41.6,49.0,64.9
Finland,8.3,7.0,7.5,5.6
France,7.9,9.3,9.4,18.3
Gabon,226.6,192.9,248.5,450.6
Gambia,458.2,619.8,777.7,1202.2
Georgia,27.6,41.0,52.8,44.3
Germany,4.4,6.2,7.2,10.3
Ghana,263.1,336.9,498.9,848.0
Greece,7.7,3.4,3.8,7.3
Grenada,21.1,27.3,42.1,53.9
Guatemala,95.5,123.3,151.8,267.6
Guinea,553.4,740.7,970.9,1238.3
Guinea-Bissau,725.1,794.5,1300.2,1651.9
Guyana,111.9,147.9,190.1,275.1
Haiti,350.4,402.9,399.7,710.4
Honduras,71.8,73.2,81.9,223.6
Hungary,15.0,15.0,14.6,25.4
Iceland,2.7,2.9,5.3,6.8
India,102.7,178.7,384.4,646.9
Indonesia,172.9,218.8,298.6,495.3
Iran,22.0,31.6,43.5,102.3
Iraq,76.1,114.9,116.9,201.9
