country,2020,2010,2000,1985,contraceptive_prevalence_pct,gdp_per_capita_usd,region
Afghanistan,620.4,898.7,1346.1,1910.3,21.0,413.757894705303,
Albania,8.3,8.5,14.3,47.7,69.0,10011.6279856667,
Algeria,77.7,111.7,159.2,255.6,61.0,5631.17999109851,
Angola,221.9,367.3,859.9,1098.0,6.0,2122.08368991872,
Argentina,44.9,55.1,71.5,97.9,78.0,13858.2039802008,South America
Armenia,27.2,33.2,50.2,54.0,55.0,8500.60522486719,
Australia,2.9,5.5,6.7,8.0,71.0,64407.484256932,Oceania
Azerbaijan,40.8,32.8,55.5,52.8,51.0,7283.83562954872,
Bahamas,77.1,78.9,60.8,55.6,45.0,39455.4466548546,
Bangladesh,123.0,300.8,441.2,907.5,61.0,2593.41607390407,
Belarus,1.1,2.7,24.3,42.3,73.0,8316.64776291533,
Belgium,4.8,5.9,8.3,8.5,75.0,55954.6106261018,Europe
Belize,129.8,32.7,85.9,113.8,34.0,8429.67959707387,
Benin,522.6,598.2,469.3,718.7,13.0,1485.38018980894,
Bhutan,59.9,116.6,304.7,835.1,66.0,3839.4093039286,
Bolivia,160.9,184.1,284.0,586.5,61.0,4001.21133990795,
Bosnia and Herzegovina,5.7,7.7,15.6,47.4,36.0,8957.37294188215,
Botswana,185.9,155.9,181.6,228.8,53.0,7695.2420641819,
Brazil,72.1,63.9,68.4,227.0,81.0,10280.3148624429,South America
Burkina Faso,263.8,357.4,505.6,795.3,16.0,987.321378101867,
Burundi,494.4,608.0,873.6,1343.3,22.0,153.930217854023,
Cambodia,218.0,276.4,605.6,687.8,51.0,2627.8796974226,Asia
Cameroon,437.8,526.7,650.7,694.3,23.0,1762.3683508844,
Canada,11.0,11.9,9.3,7.0,74.0,54282.6176051733,North America
Cape Verde,42.2,53.9,125.1,399.8,61.0,5272.85253011419,
Central African Republic,835.3,1051.6,1315.2,1003.1,15.0,516.170424537757,
Chad,1063.5,1303.3,1365.5,1420.0,5.0,1016.08880662712,
Chile,15.0,23.4,32.6,75.5,58.0,16709.8893972307,South America
China,23.0,33.2,58.1,114.5,85.0,13303.1481543868,Asia
Colombia,74.8,70.6,92.6,130.0,79.0,7913.98801464547,South America
Comoros,217.0,316.2,455.7,656.2,26.0,1784.11546860293,
Congo,282.4,389.1,659.8,630.6,45.0,2482.24894743495,Africa
Costa Rica,22.0,26.6,38.5,49.6,82.0,18587.1532203614,
Cuba,39.3,41.1,47.0,69.1,74.0,9605.26125067263,
Djibouti,234.5,273.8,512.5,707.2,23.0,3496.47111876763,
Dominican Republic,107.3,91.8,79.1,154.1,73.0,10875.6618443092,
Timor-Leste,203.9,376.3,749.7,1671.8,22.0,1343.14886031844,
Ecuador,65.7,76.2,120.1,238.6,73.0,6874.705739766,
Egypt,16.8,38.2,79.4,152.8,60.0,3338.47371395895,Africa
El Salvador,42.8,35.8,48.8,210.5,73.0,5579.65969165029,
Equatorial Guinea,212.3,211.3,426.6,1302.5,10.0,6745.40013244916,
Eritrea,321.6,479.7,734.6,1557.6,8.0,688.68165957684,
Ethiopia,266.7,634.7,952.8,1297.3,29.0,1011.07332413462,Africa
Fiji,38.0,41.6,49.0,64.9,32.0,6288.39867264416,
France,7.9,9.3,9.4,18.3,71.0,46150.4876861593,Europe
Gabon,226.6,192.9,248.5,450.6,33.0,8218.76307061848,
Gambia,458.2,619.8,777.7,1202.2,13.0,908.525674150965,
Georgia,27.6,41.0,52.8,44.3,53.0,9193.66366361489,
Ghana,263.1,336.9,498.9,848.0,34.0,2405.79466378083,Africa
Greece,7.7,3.4,3.8,7.3,76.0,24752.1068401681,
Grenada,21.1,27.3,42.1,53.9,54.0,11871.6117006031,
Guatemala,95.5,123.3,151.8,267.6,54.0,6150.02597767851,
Guinea,553.4,740.7,970.9,1238.3,9.0,1717.02318120779,
Guinea-Bissau,725.1,794.5,1300.2,1651.9,14.0,962.983627901892,
Guyana,111.9,147.9,190.1,275.1,43.0,29883.6341152001,
Haiti,350.4,402.9,399.7,710.4,32.0,2142.62330526788,
Honduras,71.8,73.2,81.9,223.6,65.0,3426.43483328923,
India,102.7,178.7,384.4,646.9,55.0,2696.66389984463,Asia
